Iteration	Payoff	Chain	Status	"(fC) Contact Rate"	"(fI) Infectivity"	"(tInc) Average Time to Show Symptoms"	"(tR) Average Time to Recovery"	Average time to get vaccinated when infections are low	Average time to get vaccinated when infections are high	weightWeeklyInfected	weightMonthlyVaccinated	
1	   91.175311		7	      16.237	    0.296415	    0.238792	    0.260071	     2.00579	   0.0161391	   0.0500411	   0.0289818	
1	   91.175311		0	      16.237	    0.296415	    0.238792	    0.260071	     2.00579	   0.0161391	   0.0500411	   0.0289818	
2	   60.238326	1	0	   16.127293	  0.29627504	  0.23892847	   0.2601783	     2.00531	 0.016367407	 0.039315794	 0.038605642	
3	   48.250471	2	0	   16.065472	  0.29644914	  0.23873548	  0.26002304	   2.0056888	 0.016466774	 0.055295852	 0.029033928	
4	   84.868348	3	0	   16.219131	  0.29630938	  0.23865531	  0.26008781	   2.0057448	 0.015769631	 0.060792841	 0.021778524	
5	   88.851673	4	0	   16.222733	  0.29634992	  0.23883482	  0.26007255	    2.006341	 0.016090119	 0.059420912	 0.027350096	
6	   73.344301	5	0	   16.119833	  0.29645264	  0.23870753	   0.2600742	    2.004349	 0.016458012	 0.078681326	 0.026295275	
7	   81.255297	6	0	   16.311882	  0.29652919	   0.2388194	  0.26008046	   2.0058033	 0.016237267	 0.051702487	 0.034129665	
8	  -15.689754	7	0	   16.049662	  0.29650597	    0.238688	  0.25991222	   2.0055328	 0.016055185	 0.041330549	 0.018851932	
9	   87.630617	8	0	   16.186928	   0.2965142	  0.23886239	  0.25993624	   2.0065656	 0.016541965	 0.050672112	 0.034610372	
10	   85.139766	9	0	   16.293921	  0.29652534	  0.23886612	  0.26011924	   2.0058752	  0.01617443	  0.06216687	 0.037890612	
11	   91.084798	10	0	   16.220538	  0.29638228	  0.23899897	  0.26016274	   2.0057998	 0.015945602	 0.043070226	 0.040021975	
12	  -102.56465	11	0	   16.468886	  0.29647684	  0.23874834	  0.26012571	   2.0054765	  0.01589996	 0.034816951	 0.020128426	
13	   88.482449	12	0	    16.25417	  0.29662872	  0.23881019	  0.26000151	    2.004461	 0.015817309	 0.053791983	 0.026237348	
14	   82.619767	13	0	   16.183038	  0.29639364	  0.23878627	  0.26003792	   2.0044792	 0.016372744	 0.063936357	  0.02242468	
15	   75.440958	14	0	   16.157311	  0.29630796	   0.2388633	  0.26006492	   2.0056119	  0.01600038	 0.042330147	 0.051823049	
16	   85.409461	15	0	   16.184536	  0.29649294	  0.23886158	  0.25994431	   2.0056653	 0.016123553	 0.049927544	 0.028773805	
32	   91.175311		4	      16.237	    0.296415	    0.238792	    0.260071	     2.00579	   0.0161391	   0.0500411	   0.0289818	
32	   88.185774	1	3	   16.190679	  0.29637854	  0.23880551	  0.26015356	   2.0056027	 0.016637037	 0.050168751	 0.027708571	
32	   48.250471	2	4	   16.065472	  0.29644914	  0.23873548	  0.26002304	   2.0056888	 0.016466774	 0.055295852	 0.029033928	
32	   84.868348	3	4	   16.219131	  0.29630938	  0.23865531	  0.26008781	   2.0057448	 0.015769631	 0.060792841	 0.021778524	
32	   88.851673	4	4	   16.222733	  0.29634992	  0.23883482	  0.26007255	    2.006341	 0.016090119	 0.059420912	 0.027350096	
32	   73.344301	5	4	   16.119833	  0.29645264	  0.23870753	   0.2600742	    2.004349	 0.016458012	 0.078681326	 0.026295275	
32	   81.255297	6	4	   16.311882	  0.29652919	   0.2388194	  0.26008046	   2.0058033	 0.016237267	 0.051702487	 0.034129665	
32	   52.683179	7	3	   16.115664	  0.29686326	  0.23856016	   0.2601103	   2.0047236	 0.016484765	 0.033669285	 0.019340228	
32	   87.630617	8	4	   16.186928	   0.2965142	  0.23886239	  0.25993624	   2.0065656	 0.016541965	 0.050672112	 0.034610372	
